WSF12N10-JXW(TO252),"0,00 € (0,00 kn)",TR-N-100V 12A,0  - pošalji upit
WMO11N60C2-CYG,"3,32 € (25,01 kn)",TR-N-FET 600V 9A 63W (TO252),5  - ima na lageru
WML15N80M3-CYG,"4,65 € (35,04 kn)",TR-N-FET 800V 15A 35W (TO220F),11  - ima na lageru
WML11N65C2-WAYON(TO220F),"3,32 € (25,01 kn)",TR-N-FET 650V 9A 0.54R,15  - ima na lageru
WMK38N65C2-WAYON,"5,49 € (41,36 kn)",TR-N-FET 650V 38A 99mR 377W(TO220),14  - ima na lageru
WMK25N80M3-CYG(TO220-3),"5,31 € (40,01 kn)",TR-N-FET 800V 21A 250W 260mR,4  - ima na lageru
W9NB90-MBR,"0,00 € (0,00 kn)",TR-N-FET 900V 10A 150W 1R2,0  - pošalji upit
W34NB20,"5,31 € (40,01 kn)",TR-N FET 200V 33A 170W(TO247),10  - ima na lageru
YTF541,"0,00 € (0,00 kn)",N-FET TRANZISTOR=IRF540(TO-220),0  - pošalji upit
YMP230N55-YM,"4,25 € (32,02 kn)",TR-N-FET 55V 230A 300W,12  - ima na lageru
Y34NB50F-ST,"16,03 € (120,78 kn)","TR-N-FET 500V 34A 0,11R-VISOKI dv/dt CAP",6  - ima na lageru
ZXTP2025FTA-DIO,"1,59 € (11,98 kn)",TR-PNP 50V 5A 1.5W (SOT223),5  - ima na lageru
ZVN2110A,"0,00 € (0,00 kn)","TR-N-FET-100V 0,32A 0,7W<5R(1A)",0  - pošalji upit
ZTX951-DIO(TO92),"2,65 € (19,97 kn)",TR-P-BJT-MEDIUM POWER,12  - ima na lageru
ZTX853,"1,59 € (11,98 kn)",TR--LO-SAT 100V 4A 1.2W(TO92),7  - ima na lageru
ZTX851-DIO,"2,65 € (19,97 kn)",TR-BIPOLAR,6  - ima na lageru
ZTX753-DIO(MALAYSIA),"1,59 € (11,98 kn)",TR-P-Lo-SAT-120V-2A-1W TO92=ZTX750,5  - ima na lageru
ZTX753,"1,86 € (14,01 kn)",TR-P-Lo-SAT-120V-2A-1W TO92=ZTX750,0  - pošalji upit
ZTX751,"2,65 € (19,97 kn)","TR-P-uni, Lo-sat- 80V 2A 1W >140MHz",8  - ima na lageru
ZTX750,"2,65 € (19,97 kn)","TR-P-uni, Lo-sat- 60V 2A 1W >100MHz",8  - ima na lageru
ZTX653-DIO(MALAYSIA),"1,11 € (8,36 kn)",TR-N-Lo-sat-120V 2A 1W >140MHZ(TO92),6  - ima na lageru
ZTX652,"0,00 € (0,00 kn)",TR=ZTX653-DIO,0  - pošalji upit
ZTX651-ZTY,"2,15 € (16,20 kn)",TR-N Uni lo-sat 80V 2A 1W >140MHz(TO92),1  - ima na lageru
ZTX649,"0,00 € (0,00 kn)",=2SD1207,0  - pošalji upit
ZTX450-DIO(MALAYSIA),"0,50 € (3,77 kn)",TR-SI-N 60V 1A 1W 150MHz,5  - ima na lageru
ZDT1048TA,"4,15 € (31,27 kn)",DUAL NPN - SMD SM8,3  - ima na lageru
VTT7125H-EXCELITAS,"3,64 € (27,43 kn)",PHOTO TRANSISTOR 100V 36* 400-1050nm,8  - ima na lageru
VS-KC91/04-VISHAY,"73,00 € (550,02 kn)",IGBT MODULE 400V 100A,1  - ima na lageru
VS-40MT120UHAPBF-VISHAY,"101,27 € (763,02 kn)",IGBT MODUL 1200V 80A ULTRAFAST,0  - pošalji upit
VP3203N8-MICROCHIP,"3,32 € (25,01 kn)",TR-P-FET 30V 4A 1.6W (SOT89-3),1  - ima na lageru
VNS1NV04DPTR-E-ST,"3,87 € (29,16 kn)",TR-N-FET-40V 1.7A 4W (SO8),8  - ima na lageru
VNP35N07-ST,"4,91 € (36,99 kn)",TR-N-FET 70V 35A (TO220),0  - pošalji upit
