Part Number, Price, Package, Qty
WT8043-WELTREND,"14,73 € (110,98 kn)",IC,2
WS82C55AG-5P,"0,00 € (0,00 kn)",IC=UPD8255C2,0
W29C040T-WINBOND,"10,62 € (80,02 kn)",IC-SMD 32 PIN,10
W29C040T-90,"0,00 € (0,00 kn)",IC=AT29C040A-12TI=10TI,0
W28Q32BVSSIG,"3,28 € (24,71 kn)",IC,20
W25Q80BVSIG-WINBOND(SO8),"3,45 € (25,99 kn)",IC-SMD(SO8),20
W25Q80BVAIG-WINBOND(DIP8),"2,21 € (16,65 kn)",IC(DIP8),8
W25Q64FVS1G-WINBOND(SO8),"2,65 € (19,97 kn)",IC-SMD(SO8),0
W25Q64BVSIG-WIN,"4,65 € (35,04 kn)",IC(SO8),5
W25Q32FVSIG-WINBOND,"3,08 € (23,21 kn)",IC SOP8,1
W25Q32BVSSIG-WIN,"3,84 € (28,93 kn)",IC-SMD(SO8),15
W25Q32BVSIG-WIN,"1,99 € (14,99 kn)",IC(SO8),0
W25Q16DWBYIG(WLCSP8),"1,77 € (13,34 kn)",IC,5
W25Q128FVSSIG-WIN,"4,38 € (33,00 kn)",IC(SOP8),10
W25Q128BVFG-WIN,"3,98 € (29,99 kn)",IC(SO8),4
YDA147-SZE2-YAMAHA,"14,03 € (105,71 kn)",IC-SMDTQFP48),1
YD8227,"0,00 € (0,00 kn)",IC=TA8227,0
YD8207=TA8207,"0,00 € (0,00 kn)",IC,0
YD1028(TO220-9),"8,25 € (62,16 kn)",IC-18W CAR POWER AMP.,2
XRP7675-MAXLINE,"2,65 € (19,97 kn)","IC-STEP DOWN REGULATOR IN. 4,5-18V OUT 1",0
XRA6887,"0,00 € (0,00 kn)",IC,0
XRA6459,"0,00 € (0,00 kn)",IC=BA6459FS,0
XRA6435,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
XRA6430,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
XR8038CP,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
XR4151CP,"0,00 € (0,00 kn)",,0
XR3403,"0,00 € (0,00 kn)",INTEGRIRANI KRUG=LM324,0
XR2567CP-MBR,"7,83 € (59,00 kn)",INTEGRIRANI KRUG,2
XR2264CP-MBR,"13,21 € (99,53 kn)",IC(DIP14),1
XR2211CP-MBR,"8,49 € (63,97 kn)",IC(DIP14),10
XR2209CP-MBR,"6,78 € (51,08 kn)",IC(DIP8),3
XR2206D-SMD-EXAR,"11,29 € (85,06 kn)",IC-SMD(SOIC),12
XR2206CP-MBR,"11,29 € (85,06 kn)",IC(DIP16),6
XR2205,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
XR2204CP,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
XR2203CP,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
XR2201,"0,00 € (0,00 kn)",IC=ULN2001,0
XR2003,"0,00 € (0,00 kn)",IC=ULN2003AN,0
XPT9911,"8,63 € (65,02 kn)",IC-12W SINGLE CH. POWER AMP. (SO16),5
XO0933,"0,00 € (0,00 kn)",IC=IX0933,0
XLS93LC66P,"0,00 € (0,00 kn)",IC=93C66,0
XL7015E1-XLSEMI(TO252-5),"4,65 € (35,04 kn)",IC,15
XL4005E1-XLSEMI(TO252-5),"4,65 € (35,04 kn)",IC,3
XFMK606001,"3,98 € (29,99 kn)",IC=MAB8441PT063+PREINAKA,1
XC94308P,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
XC89504,"0,00 € (0,00 kn)",IC=ZC89504,0
XC89501P,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
XC88655P,"0,00 € (0,00 kn)",IC=ZC88655P,0
XC88621P,"8,63 € (65,02 kn)",IC,3
XC88607P-MOT,"0,00 € (0,00 kn)",IC=XC86607P,0
XC86625P,"0,00 € (0,00 kn)",IC=8305686625,0
XC86625P,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
XC86622P-MOT,"0,00 € (0,00 kn)",IC,0
XC86622P,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0
